disease,symptoms
Grippe,"fievre,toux,fatigue,courbatures,maux de tete,frissons"
COVID-19,"fievre,toux,fatigue,perte de gout,perte d odorat,maux de tete"
Rhume,"toux,nez qui coule,mal de gorge,eternuements,nez bouche"
Gastro-enterite,"diarrhee,nausees,vomissements,douleurs abdominales,fatigue"
Migraine,"maux de tete,nausees,sensibilite a la lumiere,sensibilite au bruit"
Allergie saisonniere,"eternuements,nez qui coule,yeux qui piquent,toux,nez bouche"
Angine,"mal de gorge,fievre,douleur en avalant,fatigue"
Sinusite,"maux de tete,douleur au visage,nez bouche,ecoulement nasal,fievre"
Bronchite,"toux,fievre,essoufflement,fatigue,douleur thoracique"
Intoxication alimentaire,"nausees,vomissements,diarrhee,douleurs abdominales,fievre"
Otite,"douleur oreille,fievre,baisse audition,maux de tete"
Conjonctivite,"yeux rouges,yeux qui piquent,ecoulement oculaire,vision floue"
Infection urinaire,"brulure en urinant,envie frequente uriner,douleur bas ventre,urines troubles"
Laryngite,"voix cassee,mal de gorge,toux seche,difficulte parler"
Pharyngite,"mal de gorge,fievre,douleur en avalant,fatigue"
Asthme,"essoufflement,toux,sifflements respiratoires,oppression thoracique"
Hypertension,"maux de tete,etourdissements,fatigue,vision trouble"
Hypotension,"etourdissements,fatigue,vision trouble,nausees"
Deshydratation,"soif intense,fatigue,bouche seche,etourdissements"
Stress,"fatigue,irritabilite,troubles sommeil,maux de tete"
Anxiete,"palpitations,oppression thoracique,essoufflement,peur"
Depression legere,"fatigue,tristesse,perte energie,troubles sommeil"
Lombalgie,"douleur bas dos,raideur,difficulte bouger"
Sciatique,"douleur jambe,douleur bas dos,engourdissement,faiblesse"
Fatigue generale,"fatigue persistante,baisse energie,somnolence,concentration difficile"
